57.63333333333333,18:23:05.373982
58.2,18:23:07.051995
57.833333333333336,18:23:08.807797
55.43333333333333,18:23:10.587718
59.0,18:23:12.307485
55.833333333333336,18:23:14.022338
57.46666666666667,18:23:15.757497
62.1,18:23:17.454858
58.13333333333333,18:23:19.146976
63.833333333333336,18:23:20.859713
56.56666666666667,18:23:22.558263
61.5,18:23:24.364493
60.0,18:23:26.221223
59.0,18:23:27.981246
55.43333333333333,18:23:29.759754
60.93333333333333,18:23:31.492493
60.233333333333334,18:23:33.172691
61.666666666666664,18:23:34.955182
61.166666666666664,18:23:36.645865
63.733333333333334,18:23:38.345248
56.333333333333336,18:23:40.117602
61.7,18:23:41.788492
58.8,18:23:43.484607
55.4,18:23:45.184413
