12,19:43:40.594919,2019-11-27 19:43:39.915224
12,19:43:40.595489,2019-11-27 19:43:39.917226
19,19:43:40.790782,2019-11-27 19:43:40.113269
11,19:43:40.899513,2019-11-27 19:43:40.222293
00,19:43:40.936856,2019-11-27 19:43:40.260302
06,19:43:42.879698,2019-11-27 19:43:42.202956
11,19:43:42.988526,2019-11-27 19:43:42.310980
18,19:43:43.169599,2019-11-27 19:43:42.493022
23,19:43:43.384722,2019-11-27 19:43:42.707070
18,19:43:43.917134,2019-11-27 19:43:43.240252
13,19:43:44.177564,2019-11-27 19:43:43.501315
18,19:43:44.825810,2019-11-27 19:43:44.148949
24,19:44:01.298863,2019-11-27 19:44:00.620954
29,19:44:01.492831,2019-11-27 19:44:00.815513
34,19:44:01.761860,2019-11-27 19:44:01.085585
39,19:44:02.068268,2019-11-27 19:44:01.391653
44,19:44:02.373830,2019-11-27 19:44:01.694824
49,19:44:02.735732,2019-11-27 19:44:02.036900
54,19:44:03.575212,2019-11-27 19:44:02.899094
59,19:44:03.952630,2019-11-27 19:44:03.275178
64,19:44:04.362409,2019-11-27 19:44:03.686271
69,19:44:04.770806,2019-11-27 19:44:04.094244
74,19:44:05.726419,2019-11-27 19:44:05.049969
79,19:44:06.232025,2019-11-27 19:44:05.555438
74,19:44:06.815969,2019-11-27 19:44:06.133604
69,19:44:07.055077,2019-11-27 19:44:06.378606
64,19:44:07.333667,2019-11-27 19:44:06.656744
28,19:44:07.508607,2019-11-27 19:44:06.832297
23,19:44:07.578072,2019-11-27 19:44:06.902312
17,19:44:07.650066,2019-11-27 19:44:06.974328
01,12:05:48.538025,2019-11-28 12:05:59.237656
06,12:05:56.648512,2019-11-28 12:06:07.346514
12,12:05:57.017720,2019-11-28 12:06:07.718720
17,12:05:57.410820,2019-11-28 12:06:08.112678
00,12:05:57.533161,2019-11-28 12:06:08.233344
05,12:06:01.743406,2019-11-28 12:06:12.443945
010,12:06:03.426966,2019-11-28 12:06:14.126930
15,12:06:04.595968,2019-11-28 12:06:15.295804
00,12:06:05.244801,2019-11-28 12:06:15.945060
05,12:06:09.500959,2019-11-28 12:06:20.200205
010,12:06:11.225493,2019-11-28 12:06:21.884800
15,12:06:12.427700,2019-11-28 12:06:23.082371
00,12:06:13.056887,2019-11-28 12:06:23.757960
05,12:06:17.451290,2019-11-28 12:06:28.152161
010,12:06:19.204206,2019-11-28 12:06:29.905780
15,12:06:20.468054,2019-11-28 12:06:31.169432
00,12:06:21.029560,2019-11-28 12:06:31.731994
05,12:06:25.607928,2019-11-28 12:06:36.308754
010,12:06:27.405647,2019-11-28 12:06:38.107446
15,12:06:28.691677,2019-11-28 12:06:39.394041
00,12:06:29.263857,2019-11-28 12:06:39.966030
05,12:06:33.962793,2019-11-28 12:06:44.664596
010,12:06:35.820133,2019-11-28 12:06:46.522227
15,12:06:37.101253,2019-11-28 12:06:47.802639
00,12:06:37.680105,2019-11-28 12:06:48.382175
05,12:06:42.418110,2019-11-28 12:06:53.120371
010,12:06:44.274484,2019-11-28 12:06:54.977651
15,12:06:45.565446,2019-11-28 12:06:56.267598
00,12:06:46.137086,2019-11-28 12:06:56.839662
05,12:06:51.006010,2019-11-28 12:07:01.708676
01,12:17:35.647140,2019-11-28 12:17:46.384385
07,12:17:42.830470,2019-11-28 12:17:53.569123
13,12:17:43.283907,2019-11-28 12:17:54.018924
20,12:17:43.873495,2019-11-28 12:17:54.610171
00,12:17:44.027349,2019-11-28 12:17:54.764767
05,12:17:48.798319,2019-11-28 12:17:59.537003
010,12:17:50.784114,2019-11-28 12:18:01.523099
15,12:17:52.142306,2019-11-28 12:18:02.876831
00,12:17:52.763301,2019-11-28 12:18:03.501961
05,12:17:57.571119,2019-11-28 12:18:08.309148
010,12:17:59.480385,2019-11-28 12:18:10.218100
15,12:18:00.814712,2019-11-28 12:18:11.553546
00,12:18:01.403081,2019-11-28 12:18:12.142329
05,12:18:06.182337,2019-11-28 12:18:16.921912
010,12:18:08.146761,2019-11-28 12:18:18.886623
15,12:18:09.503933,2019-11-28 12:18:20.243034
00,12:18:10.184177,2019-11-28 12:18:20.844946
05,12:18:14.942409,2019-11-28 12:18:25.681719
010,12:18:16.900889,2019-11-28 12:18:27.640741
15,12:18:18.258572,2019-11-28 12:18:28.998891
00,12:18:18.905313,2019-11-28 12:18:29.645536
05,12:18:24.164174,2019-11-28 12:18:34.903999
010,12:18:26.298126,2019-11-28 12:18:37.038323
15,12:18:27.651583,2019-11-28 12:18:38.389121
00,12:18:28.302590,2019-11-28 12:18:39.042374
05,12:18:33.157862,2019-11-28 12:18:43.898751
010,12:18:35.097292,2019-11-28 12:18:45.838774
15,12:18:36.444496,2019-11-28 12:18:47.185085
00,12:18:37.062546,2019-11-28 12:18:47.802378
05,12:18:41.887161,2019-11-28 12:18:52.629107
